,name,host_id,host_name,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities_ct,days_as_host,bathrooms,hrr
8997,130インチ超大型スクリーン完備！401シアタールーム♪パーティに最適な広々空間！,348256355,Yuki,Superhost,3.0,35.67698,139.67715,Entire apartment,Entire home/apt,6,1.0,3.0,25275.0,1,365,76,108,4.84,4.9,4.88,4.88,4.88,4.93,4.73,12.13,22,414,2.0,1.0
8998,130インチ超大型スクリーン完備！501ピンポンルーム♪ パーティに最適な広々空間！,348256355,Yuki,Superhost,3.0,35.67807,139.67723,Entire apartment,Entire home/apt,6,1.0,4.0,25275.0,1,365,79,62,4.82,4.87,4.9,4.89,4.9,4.87,4.61,7.24,19,414,2.0,1.0
8999,2020Newly Build彡Twin room彡Shinjuku One stop☆彡C,43855091,Rumika,Superhost,10.0,35.68514,139.68493,Entire apartment,Entire home/apt,2,1.0,2.0,3714.0,5,30,41,5,5.0,4.8,5.0,5.0,5.0,4.8,5.0,0.49,24,2140,1.0,1.0
9001,NEW Open! Spacious 3 BR｜4 Min Walk｜Free WiFi,364090138,足跡,Non-Superhost,0.0,35.54112,139.711,Entire house,Entire home/apt,10,3.0,8.0,14768.0,2,120,152,12,4.33,4.42,4.58,4.75,4.5,4.0,4.25,1.5,29,331,1.5,1.0
9002,【開業記念セール中！】新築の綺麗な一軒家を贅沢貸切/駅徒歩4分/新宿・池袋・渋谷へのアクセス抜群♪,349272614,薫,Non-Superhost,0.0,35.71473,139.69072,Entire house,Entire home/apt,8,3.0,4.0,21357.0,1,1125,102,7,4.71,5.0,4.71,4.86,4.86,4.71,4.57,0.9,32,406,1.0,1.0
9003,【開業記念セール中！】広々61平米/Wi-Fi完備/駅徒歩90秒/主要都市へのアクセス抜群/101,349272614,薫,Non-Superhost,0.0,35.71154,139.73316,Private room in apartment,Private room,6,1.0,3.0,18943.0,1,1125,102,19,4.79,4.79,4.53,4.89,4.89,4.95,4.74,2.18,28,406,1.0,1.0
9004,Yasuragi-IKEBUKURO 2F JapaneseStyle,253574620,Kousuke,Superhost,7.0,35.73397,139.70509,Entire apartment,Entire home/apt,5,2.0,4.0,18714.0,1,1125,180,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.97,43,836,4.0,1.0
9008,PortHouse Hatsudai (All 11 rooms rent out),353893259,Yui,Superhost,1.0,35.68177,139.68486,Entire house,Entire home/apt,16,11.0,11.0,282857.0,2,1125,294,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.11,36,379,11.0,1.0
9011,Fully Equipped Apartment/Studio Deluxe,364451034,Oakwood Apartments,Non-Superhost,0.0,35.64881,139.73703,Room in hotel,Private room,2,1.0,1.0,22000.0,1,28,73,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.22,21,328,1.0,0.0
9012,【開業記念セール中！】広々70平米/Wi-Fi完備/駅徒歩90秒/主要都市へのアクセス抜群/401,349272614,薫,Non-Superhost,0.0,35.71138,139.73319,Private room in apartment,Private room,6,2.0,3.0,18943.0,1,1125,92,49,4.84,4.84,4.8,4.84,4.94,4.9,4.61,5.59,27,406,1.0,1.0
9014,2Fまるごと45㎡貸切！話題の蔵前駅、駅近3分！浅草、雷門まで徒歩8分！御徒町徒歩15分！,338405192,Yasuhiro,Superhost,0.0,35.70605,139.79091,Entire apartment,Entire home/apt,6,1.0,5.0,10657.0,1,1125,365,5,4.8,4.8,4.8,5.0,4.8,4.8,4.8,0.63,19,513,1.0,1.0
9015,雷門浅草寺から徒歩4分の和風ホテル,364603212,浅草雷門,Non-Superhost,0.0,35.71134,139.79412,Room in hotel,Private room,2,1.0,2.0,37714.0,1,31,236,6,5.0,5.0,4.83,5.0,5.0,5.0,5.0,0.81,16,327,1.0,1.0
9016,【開業記念セール中！】/広々40平米/Wi-Fi完備/駅徒歩90秒/主要都市へのアクセス抜群/201,349272614,薫,Non-Superhost,0.0,35.70959,139.73265,Private room in apartment,Private room,5,1.0,3.0,12629.0,1,1125,96,9,4.44,4.56,4.78,4.33,4.78,4.78,4.44,1.08,30,406,1.0,1.0
9019,Shinjuku gyoen mae 2min#airport45min#2rooms Max8P,183407445,Yuki,Non-Superhost,2.0,35.69174,139.71352,Entire apartment,Entire home/apt,8,2.0,3.0,10886.0,1,1125,54,87,4.71,4.75,4.55,4.97,4.93,4.87,4.64,8.31,28,1198,1.0,1.0
9020,Gallery House1Wifi 帰国者歓迎/Amazon fireTVstick完備(2F),161665344,May,Superhost,3.0,35.56362,139.69988,Entire apartment,Entire home/apt,5,1.0,6.0,6243.0,2,365,74,14,5.0,4.93,5.0,5.0,5.0,4.86,4.93,1.59,47,1321,2.0,1.0
9021,Yasuragi-IKEBUKURO 3F JapaneseStyle,253574620,Kousuke,Superhost,7.0,35.73418,139.70532,Entire apartment,Entire home/apt,8,2.0,5.0,18714.0,1,1125,180,6,5.0,5.0,4.83,4.5,5.0,5.0,5.0,0.67,35,836,4.0,1.0
9022,201- Hotel K-Gen Convenient & Secure accommodation,362854405,大林,Non-Superhost,1.0,35.7594,139.73754,Room in aparthotel,Private room,4,1.0,1.0,3325.0,1,1125,0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1,12,338,2.0,1.0
9023,【開業記念セール中！】広々40平米/Wi-Fi完備/駅徒歩90秒/主要都市へのアクセス抜群/202,349272614,薫,Non-Superhost,0.0,35.7093,139.73321,Private room in apartment,Private room,5,1.0,3.0,12629.0,1,1125,87,39,4.74,4.77,4.77,4.74,4.85,4.46,4.67,4.47,28,406,1.0,1.0
9024,【開業記念セール中！】広々40平米/Wi-Fi完備/駅徒歩90秒/主要都市へのアクセス抜群/301,349272614,薫,Non-Superhost,0.0,35.70925,139.73396,Private room in apartment,Private room,5,1.0,3.0,12629.0,1,1125,100,9,4.89,5.0,4.89,5.0,4.89,5.0,4.78,1.03,26,406,1.0,1.0
9025,【開業記念セール中！】広々40平米/Wi-Fi完備/駅徒歩90秒/主要都市へのアクセス抜群/302,349272614,薫,Non-Superhost,0.0,35.71,139.73258,Private room in apartment,Private room,5,1.0,3.0,12629.0,1,1125,100,7,5.0,4.86,5.0,5.0,5.0,5.0,4.57,1.0,26,406,1.0,1.0
9026,♦️長租特惠♦️向井601/上野站徒步5分/JR御徒町4分/全新裝修/成田直通/移動Wifi/日英中溝通,84648516,Paul,Non-Superhost,13.0,35.70774,139.77688,Entire apartment,Entire home/apt,4,1.0,2.0,5071.0,14,365,70,2,5.0,5.0,4.5,4.5,5.0,5.0,5.0,0.24,16,1827,1.0,1.0
9028,New Apt♬2min from Tachiaigawa sta★Studio Room101,248967189,Ent Terrace,Superhost,0.0,35.60002,139.73822,Entire apartment,Entire home/apt,4,1.0,2.0,5800.0,20,62,59,3,5.0,5.0,5.0,5.0,4.67,4.33,5.0,0.46,25,858,1.5,1.0
9029,新築ゆったり38平米／スカイツリー2分／駅徒歩3分／高速WiFi／ネットテレビ完備／Thome5-1,358122175,Tｰhome,Non-Superhost,3.0,35.70936,139.80882,Entire apartment,Entire home/apt,9,1.0,5.0,20686.0,1,31,89,16,4.69,4.88,4.75,4.94,4.88,4.81,4.81,1.66,16,361,1.0,1.0
9030,スカイツリーを一望！スカイツリー徒歩2分、最寄り駅徒歩3分 T5-201,358122175,Tｰhome,Non-Superhost,3.0,35.70966,139.80877,Entire apartment,Entire home/apt,10,2.0,6.0,9943.0,1,31,86,53,4.75,4.91,4.87,4.83,4.92,4.92,4.75,5.0,17,361,1.0,1.0
9031,New Apt♬2min from Tachiaigawa sta★Studio Room301,248967189,Ent Terrace,Superhost,0.0,35.60013,139.73958,Entire apartment,Entire home/apt,4,1.0,2.0,8400.0,5,62,42,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.2,21,858,1.5,1.0
9032,New Apt♬2min from Tachiaigawa sta★Studio Room201,248967189,Ent Terrace,Superhost,0.0,35.59963,139.73773,Entire apartment,Entire home/apt,4,1.0,2.0,8400.0,5,62,45,5,5.0,4.8,4.6,4.8,5.0,4.6,4.8,2.83,23,858,1.5,1.0
9033,Remote work#New construction #Long stay#WIFI#3ppl,213268738,浩悦,Non-Superhost,9.0,35.67241,139.66256,Entire apartment,Entire home/apt,3,1.0,2.0,30000.0,1,1125,150,5,4.4,4.2,4.8,4.2,4.2,4.4,4.2,0.49,20,1051,1.0,1.0
9035,Yasuragi-IKEBUKURO 4F Coloful room,253574620,Kousuke,Superhost,7.0,35.73227,139.70677,Entire apartment,Entire home/apt,8,2.0,5.0,16714.0,1,30,179,6,5.0,5.0,5.0,5.0,5.0,4.83,5.0,5.29,34,836,4.0,1.0
9036,Yasuragi-IKEBUKURO 5-6F Superior room,253574620,Kousuke,Superhost,7.0,35.73229,139.70501,Entire apartment,Entire home/apt,13,3.0,7.0,27714.0,1,30,172,58,4.86,4.88,4.9,4.71,4.81,4.59,4.62,5.52,33,836,4.0,1.0
9037,新築！駅徒歩３分/スーパーやコンビニ徒歩１分 /WiFi無料 501,364904132,ｸﾞﾘｰﾝｼｰ,Non-Superhost,1.0,35.70685,139.8166,Entire apartment,Entire home/apt,3,1.0,2.0,10869.0,2,15,170,25,4.64,4.92,4.8,4.84,4.92,4.96,4.88,2.49,12,325,1.0,1.0
9038,Real Life AOYAMA 1BR suite 2 double bed 3min metro,211851828,Paul,Superhost,1.0,35.67191,139.72681,Entire serviced apartment,Entire home/apt,4,1.0,2.0,13136.0,2,180,159,7,4.86,4.86,5.0,4.71,4.57,4.43,3.43,0.82,20,1059,1.5,0.98
9039,新築！駅徒歩３分/スーパーやコンビニ徒歩１分 /WiFi無料 502,364904132,ｸﾞﾘｰﾝｼｰ,Non-Superhost,1.0,35.7085,139.81695,Entire apartment,Entire home/apt,3,1.0,2.0,5417.0,2,15,177,15,4.8,4.93,4.6,4.87,5.0,4.87,4.87,1.5,12,325,1.0,1.0
9040,新築！駅徒歩３分/スーパーやコンビニ徒歩１分 /WiFi無料 503,364904132,ｸﾞﾘｰﾝｼｰ,Non-Superhost,1.0,35.70889,139.81539,Entire apartment,Entire home/apt,3,1.0,2.0,5589.0,2,15,173,33,4.79,4.82,4.82,4.82,5.0,4.94,4.48,3.21,10,325,1.0,1.0
9041,新築！駅徒歩３分/スーパーやコンビニ徒歩１分 /WiFi無料 601,364904132,ｸﾞﾘｰﾝｼｰ,Non-Superhost,1.0,35.70671,139.8153,Entire apartment,Entire home/apt,3,1.0,2.0,5417.0,2,15,174,25,4.56,4.72,4.84,4.92,4.88,4.92,4.56,2.65,11,325,1.0,1.0
9042,新築！駅徒歩３分/スーパーやコンビニ徒歩１分 /WiFi無料 602,364904132,ｸﾞﾘｰﾝｼｰ,Non-Superhost,1.0,35.70679,139.81483,Entire apartment,Entire home/apt,3,1.0,0.0,5074.0,2,15,153,7,4.86,4.86,4.86,5.0,4.86,4.71,4.71,0.86,10,325,1.0,1.0
9043,新築！駅徒歩３分/スーパーやコンビニ徒歩１分 /WiFi無料 603,364904132,ｸﾞﾘｰﾝｼｰ,Non-Superhost,1.0,35.70867,139.81475,Entire apartment,Entire home/apt,3,1.0,2.0,5417.0,2,15,170,21,4.76,4.9,4.71,4.9,4.86,4.9,4.62,2.12,10,325,1.0,1.0
9044,#AS05 [Pet] [Self-quarantine] good wifi/1min Sta.,30883070,Takeshi,Non-Superhost,31.0,35.71505,139.79443,Entire apartment,Entire home/apt,4,1.0,2.0,4346.0,1,31,161,26,4.65,4.81,4.54,4.96,4.85,4.85,4.69,2.82,38,2294,1.0,1.0
9045,#AS06 [Airport trans] [Self-quarantine]/1min Sta.,30883070,Takeshi,Non-Superhost,31.0,35.71692,139.79262,Entire apartment,Entire home/apt,5,1.0,1.0,6289.0,1,30,160,59,4.63,4.83,4.78,4.92,4.78,4.64,4.68,6.32,35,2294,1.0,1.0
9046,#AS07 [Airport trans] [Self-quarantine]/1min Sta.,30883070,Takeshi,Non-Superhost,31.0,35.71695,139.79449,Entire apartment,Entire home/apt,3,1.0,1.0,5168.0,1,31,167,53,4.77,4.91,4.68,4.96,4.81,4.79,4.75,5.15,35,2294,1.0,1.0
9047,#AS08 [Airport trans] [Self-quarantine]/1min Sta.,30883070,Takeshi,Non-Superhost,31.0,35.71651,139.7942,Entire apartment,Entire home/apt,7,1.0,2.0,5449.0,1,30,162,34,4.62,4.97,4.5,4.82,4.88,4.76,4.79,3.88,33,2294,1.0,1.0
9048,#AS12 [Pet] [Self-quarantine] good wifi/1min Sta.,30883070,Takeshi,Non-Superhost,31.0,35.71559,139.7923,Entire apartment,Entire home/apt,5,1.0,1.0,6811.0,1,30,164,12,4.42,4.75,4.5,4.83,5.0,4.75,4.58,1.61,36,2294,1.0,1.0
9049,#AS13 [Pet] [Self-quarantine] good wifi/1min Sta.,30883070,Takeshi,Non-Superhost,31.0,35.71669,139.79243,Entire apartment,Entire home/apt,2,1.0,1.0,5511.0,1,30,147,8,3.88,4.5,4.0,4.75,4.75,4.63,4.5,0.77,36,2294,1.0,1.0
9050,Real Life AOYAMA 2BR suite 5pax 3bed 3min metro,211851828,Paul,Superhost,1.0,35.66967,139.72642,Entire serviced apartment,Entire home/apt,5,2.0,3.0,16979.0,2,180,173,14,4.64,4.5,4.79,4.71,4.64,4.93,4.29,2.08,20,1059,1.0,0.98
9056,~SALE~Near by JR YAMANOTE Line! MAX 4ppl,321180412,Ostay-Yamato,Superhost,7.0,35.73439,139.76714,Entire apartment,Entire home/apt,2,1.0,2.0,7043.0,1,1125,365,6,5.0,5.0,5.0,5.0,5.0,5.0,4.67,0.61,27,572,1.5,1.0
9064,Deluxe Twin Room,365209306,Gate Stay,Superhost,5.0,35.6804,139.78418,Room in aparthotel,Entire home/apt,2,1.0,2.0,12000.0,1,31,228,14,5.0,4.93,5.0,5.0,5.0,4.86,4.86,1.38,21,323,1.0,1.0
9066,Deluxe Japanese Room,365209306,Gate Stay,Superhost,5.0,35.68077,139.78398,Room in aparthotel,Entire home/apt,5,1.0,5.0,15000.0,1,31,198,4,4.5,4.25,4.5,3.75,4.25,4.25,4.25,0.42,21,323,1.0,1.0
9067,Superior Family Room,365209306,Gate Stay,Superhost,5.0,35.68088,139.78385,Room in aparthotel,Entire home/apt,5,1.0,4.0,13000.0,1,31,260,3,4.67,4.67,5.0,4.67,5.0,5.0,4.67,0.38,21,323,1.0,1.0
9068,New hotel/KITSUNE SIPPO,365344410,ｷﾂﾈ,Superhost,4.0,35.71692,139.79751,Room in hotel,Private room,2,1.0,1.0,4229.0,1,15,80,21,4.86,4.95,4.95,4.86,4.9,4.9,4.86,2.49,20,323,1.0,1.0
9069,Amazon Fire TV*Togoshi 202　戸越/戸越公園エリア,179911926,Ayumi,Superhost,2.0,35.60994,139.71832,Entire apartment,Entire home/apt,2,1.0,1.0,7400.0,1,365,165,10,4.9,5.0,5.0,5.0,4.8,4.9,4.4,1.24,23,1216,1.0,0.98
9070,Near by JR YAMANOTE Line! MAX 4ppl,321180412,Ostay-Yamato,Superhost,7.0,35.73624,139.76717,Entire apartment,Entire home/apt,4,1.0,2.0,7043.0,1,1125,355,7,4.71,4.86,5.0,5.0,5.0,4.57,4.86,0.79,25,572,1.5,1.0
9072,Telework welcome#New construction #Long stay（13F）,213268738,浩悦,Non-Superhost,9.0,35.67206,139.66205,Entire apartment,Entire home/apt,3,1.0,2.0,18286.0,1,1125,165,2,4.5,5.0,5.0,5.0,5.0,4.0,4.0,0.23,23,1051,1.0,1.0
9073,JR YAMANOTE Line Ueno/Shinjuku Directly! MAX 6ppl,321180412,Ostay-Yamato,Superhost,7.0,35.73559,139.76701,Entire apartment,Entire home/apt,6,2.0,2.0,11869.0,1,1125,360,4,4.75,5.0,4.25,5.0,4.5,4.5,4.25,0.4,25,572,1.5,1.0
9074,JR YAMANOTE Line Ueno/Shinjuku Directly! MAX 6ppl,230616333,Ostay-Ryu,Superhost,121.0,35.73409,139.76867,Entire apartment,Entire home/apt,6,2.0,2.0,11850.0,1,1125,165,16,4.94,4.81,5.0,5.0,5.0,4.69,4.69,1.62,26,949,1.5,1.0
9075,Real Life AOYAMA 2BR suite 3-bed 3min Aoyama 1ch,211851828,Paul,Superhost,1.0,35.67183,139.72655,Entire serviced apartment,Entire home/apt,6,2.0,2.0,14779.0,2,180,179,11,4.64,4.73,4.91,4.82,4.73,4.91,4.64,4.29,19,1059,1.5,0.98
9076,Togoshi 301*40㎡ *Amazon TV*20mins to Shibuya*WIFI,179911926,Ayumi,Superhost,2.0,35.60994,139.71831,Entire apartment,Entire home/apt,4,1.0,2.0,13000.0,1,365,140,7,4.71,4.86,4.86,4.71,5.0,4.57,4.71,0.76,21,1216,1.0,0.98
9077,Togoshi 302*30㎡ *Amazon TV*20mins to Shibuya*WIFI,179911926,Ayumi,Superhost,2.0,35.60994,139.71831,Entire apartment,Entire home/apt,3,1.0,2.0,8500.0,1,365,168,2,5.0,5.0,5.0,5.0,5.0,5.0,4.5,0.24,20,1216,1.0,0.98
9108,[93㎡（テラス含む）]　634 Condo Shinjuku　－　1F DINING SUITE,365213968,634resort,Superhost,3.0,35.69888,139.70704,Entire villa,Entire home/apt,8,1.0,4.0,64000.0,1,90,155,38,4.89,4.92,4.97,4.71,4.84,4.5,4.37,4.6,31,323,1.0,1.0
9128,New★Nostalgic Full renovation house★Asakusa10min,300407268,Henri,Superhost,0.0,35.73497,139.82259,Entire house,Entire home/apt,6,1.0,4.0,8000.0,1,365,73,18,4.67,4.61,5.0,4.83,4.61,4.39,4.78,1.77,29,653,1.0,1.0
9131,101JR山手线莺谷站3分钟，紧邻上野浅草寺，直达新宿池袋等热门商圈，温馨新装大公寓，中文房东！,145520882,Eric,Non-Superhost,13.0,35.72248,139.78,Entire apartment,Entire home/apt,11,3.0,5.0,28000.0,1,1125,131,3,4.0,4.0,4.33,5.0,5.0,4.67,4.33,0.73,31,1439,3.0,1.0
9132,202JR山手线莺谷站3分钟，紧邻上野浅草寺，直达新宿池袋等热门商圈，温馨精装酒店公寓，中文房东！,145520882,Eric,Non-Superhost,13.0,35.72111,139.7803,Entire apartment,Entire home/apt,2,1.0,2.0,7257.0,1,1125,104,1,3.0,1.0,3.0,5.0,5.0,4.0,3.0,0.21,31,1439,1.0,1.0
9134,7mins to Sta. Otuska.discount for month.consult me,34415001,Cheng,Superhost,5.0,35.73314,139.72434,Entire villa,Entire home/apt,8,2.0,1.0,150000.0,3,1125,75,9,4.78,4.89,4.89,4.89,4.89,4.33,4.78,0.89,40,2245,2.0,1.0
9147,203JR山手线莺谷站3分钟，紧邻上野浅草寺，直达新宿池袋等热门商圈，温馨精装酒店公寓，中文房东！,145520882,Eric,Non-Superhost,13.0,35.72075,139.78065,Entire apartment,Entire home/apt,5,2.0,3.0,11429.0,1,1125,132,2,5.0,5.0,4.0,5.0,5.0,5.0,4.5,2.0,33,1439,1.5,1.0
9149,[Isolation after entering JPN] [APT pickup] ASS202,129096261,Chisaki,Superhost,26.0,35.70744,139.80338,Entire apartment,Entire home/apt,4,1.0,2.0,6233.0,2,365,327,17,5.0,5.0,4.94,5.0,4.94,4.94,4.94,1.68,39,1536,1.0,1.0
9157,402- Hotel K-Gen Convenient & Secure accommodation,362854405,大林,Non-Superhost,1.0,35.75868,139.73833,Room in aparthotel,Private room,2,1.0,1.0,3325.0,1,1125,0,2,4.5,4.0,4.0,4.5,4.5,3.5,4.5,0.22,14,338,2.0,1.0
9158,Private Flat in KOENJI AREA / Equipped for Cooking,165921683,Tokyo,Non-Superhost,10.0,35.69364,139.65042,Entire apartment,Entire home/apt,1,1.0,1.0,4666.0,10,1125,43,1,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0.14,13,1293,1.0,0.9
9162,"R302 Cozy Apt,Shinjuku Area.nearest sta walk 3mins",331066175,Win,Non-Superhost,0.0,35.70946,139.72968,Entire apartment,Entire home/apt,3,1.0,1.0,5495.0,2,1125,175,12,5.0,4.92,5.0,5.0,4.75,5.0,4.83,1.24,34,540,1.5,1.0
9163,★謝恩セール14泊7万★New open【New City Hotel】401,49124251,Yurie友里恵,Non-Superhost,39.0,35.71804,139.79877,Room in boutique hotel,Private room,4,1.0,2.0,20000.0,1,1125,54,2,5.0,5.0,5.0,4.5,5.0,4.0,5.0,0.54,26,2074,1.0,1.0
9164,★謝恩セール14泊6万★New open【New City Hotel】501,49124251,Yurie友里恵,Non-Superhost,39.0,35.71912,139.79888,Room in boutique hotel,Private room,2,1.0,1.0,15000.0,1,1125,62,2,4.5,3.5,5.0,4.0,5.0,4.0,5.0,0.44,23,2074,1.0,1.0
9165,★謝恩セール14泊7万★New open【New City Hotel】301,49124251,Yurie友里恵,Non-Superhost,39.0,35.71776,139.80068,Room in boutique hotel,Private room,4,1.0,2.0,20000.0,1,1125,38,1,5.0,5.0,5.0,5.0,4.0,4.0,4.0,0.35,23,2074,1.0,1.0
9166,"1F Cozy Loft room max for 3, Shinjuku area, Waseda",365204041,Win,Non-Superhost,6.0,35.70822,139.72406,Entire apartment,Entire home/apt,1,1.0,3.0,23389.0,1,60,0,12,4.42,4.58,4.83,4.67,4.5,4.42,4.58,1.48,30,323,1.5,1.0
9167,渋谷45家族や仲間と楽しく過ごそう！光回線完備 渋谷Eアドレス,207022828,Yoshi,Non-Superhost,10.0,35.6569,139.71033,Entire apartment,Entire home/apt,6,1.0,3.0,8433.0,1,70,19,11,3.82,3.91,4.09,3.45,3.36,4.09,4.0,1.08,17,1083,1.0,1.0
9168,"201 Cozy Apt, Shinjuku area, Waseda , Free wifi!",365204041,Win,Non-Superhost,6.0,35.70905,139.72566,Entire apartment,Entire home/apt,2,1.0,1.0,23389.0,1,60,0,21,4.62,4.71,4.9,4.95,4.76,4.86,4.81,2.33,36,323,1.5,1.0
9169,"202 Cozy Apt, Shinjuku area, Waseda , Free wifi!",365204041,Win,Non-Superhost,6.0,35.70714,139.72387,Entire apartment,Entire home/apt,2,1.0,1.0,23389.0,1,60,0,28,4.82,4.82,4.71,5.0,4.89,4.75,4.82,2.85,31,323,1.5,1.0
9170,"R202 Cozy Apt,Shinjuku Area.nearest sta walk 3mins",331066175,Win,Non-Superhost,0.0,35.70794,139.73088,Entire apartment,Entire home/apt,3,1.0,1.0,4586.0,2,1125,178,10,5.0,4.9,5.0,5.0,4.7,4.8,4.9,0.99,33,540,1.5,1.0
9171,"R402 Cozy Apt,Shinjuku Area.nearest sta walk 3mins",331066175,Win,Non-Superhost,0.0,35.70827,139.7292,Entire apartment,Entire home/apt,3,1.0,1.0,5061.0,2,1125,175,7,5.0,5.0,5.0,5.0,4.86,4.71,4.71,0.72,33,540,1.5,1.0
9172,"R401 Cozy Apt,Shinjuku Area.nearest sta walk 3mins",331066175,Win,Non-Superhost,0.0,35.7067,139.73088,Entire apartment,Entire home/apt,3,1.0,1.0,5123.0,2,1125,177,3,4.67,4.67,4.33,5.0,4.33,5.0,5.0,0.3,33,540,1.5,1.0
9173,"R201 Cozy Apt,Shinjuku Area.nearest sta walk 3mins",331066175,Win,Non-Superhost,0.0,35.70866,139.73114,Entire apartment,Entire home/apt,3,1.0,2.0,4614.0,2,1125,175,13,4.31,4.62,4.69,4.92,4.08,4.92,4.69,1.34,21,540,1.5,1.0
9174,"R301 Cozy Apt,Shinjuku Area.nearest sta walk 3mins",331066175,Win,Non-Superhost,0.0,35.70829,139.72907,Entire apartment,Entire home/apt,3,1.0,2.0,4361.0,2,1125,173,5,4.0,4.6,4.2,5.0,4.2,4.6,4.4,0.5,20,540,1.5,1.0
9175,"R101 Cozy Apt,Shinjuku Area.nearest sta walk 3mins",331066175,Win,Non-Superhost,0.0,35.708,139.73102,Entire apartment,Entire home/apt,3,1.0,1.0,4501.0,2,1125,177,2,4.5,5.0,4.5,5.0,5.0,5.0,5.0,0.38,33,540,1.5,1.0
9176,New Open! Under the raiway hotel Akihabara★#A,366845450,Roof,Non-Superhost,0.0,35.70015,139.77257,Room in hotel,Private room,2,1.0,1.0,9925.0,1,365,101,4,4.5,4.25,5.0,4.75,4.75,4.75,4.5,0.41,20,313,1.0,0.94
9177,New Open! Under the raiway hotel Akihabara★#B,366845450,Roof,Non-Superhost,0.0,35.70074,139.77268,Room in hotel,Private room,2,1.0,1.0,10697.0,1,365,104,2,4.5,5.0,5.0,5.0,4.5,4.5,4.5,0.58,22,313,1.0,0.94
9178,New Open! Under Raiway Hotel Akihabara★#C,366845450,Roof,Non-Superhost,0.0,35.70252,139.77317,Room in hotel,Private room,2,1.0,1.0,9051.0,1,365,104,1,4.0,4.0,4.0,4.0,4.0,5.0,4.0,0.1,21,313,1.0,0.94
9180,New Open! Under Raiway Hotel Akihabara★#E,366845450,Roof,Non-Superhost,0.0,35.70208,139.77234,Room in hotel,Private room,3,1.0,3.0,6500.0,1,365,89,8,4.88,4.88,4.63,4.88,5.0,4.88,4.75,0.92,22,313,1.0,0.94
9181,New Open! Under Raiway Hotel Akihabara★#F,366845450,Roof,Non-Superhost,0.0,35.7022,139.7724,Room in hotel,Private room,4,1.0,4.0,10073.0,1,365,101,2,4.0,4.0,3.5,4.5,4.5,4.5,4.0,0.21,22,313,1.0,0.94
9184,New Open! Under Raiway Hotel Akihabara★#I,366845450,Roof,Non-Superhost,0.0,35.70056,139.774,Room in hotel,Private room,6,1.0,4.0,9843.0,1,365,98,21,4.62,4.76,4.86,4.76,4.71,4.57,4.86,2.07,22,313,1.0,0.94
9185,New Open! Under Raiway Hotel Akihabara★#J,366845450,Roof,Non-Superhost,0.0,35.70029,139.77275,Room in hotel,Private room,4,1.0,3.0,12409.0,1,365,103,6,4.5,4.83,5.0,4.83,4.83,4.5,5.0,0.59,22,313,1.0,0.94
9187,New Open! Under Raiway Hotel Akihabara★#L,366845450,Roof,Non-Superhost,0.0,35.70034,139.77229,Room in hotel,Private room,6,1.0,3.0,14119.0,1,365,95,29,4.45,4.66,4.69,4.72,4.76,4.59,4.76,2.87,22,313,1.0,0.94
9188,New Open! Under Raiway Hotel Akihabara★#M,366845450,Roof,Non-Superhost,0.0,35.7004,139.77397,Room in hotel,Private room,7,1.0,6.0,13900.0,1,365,88,4,5.0,4.5,4.75,4.5,5.0,5.0,4.5,0.39,22,313,1.0,0.94
9189,2 mins by train to Shinjuku Sta.！Very clean room！,216362618,Naoya,Non-Superhost,6.0,35.69915,139.6899,Entire apartment,Entire home/apt,8,2.0,4.0,2071.0,2,1125,104,8,4.25,4.63,4.13,4.75,4.75,4.25,4.63,1.08,23,1034,1.0,1.0
9190,Spacious house! /Shinjuku Sta. 6 min by train,216362618,Naoya,Non-Superhost,6.0,35.70944,139.6504,Entire house,Entire home/apt,12,3.0,5.0,15000.0,2,1125,78,7,4.71,4.86,4.29,5.0,4.71,4.71,5.0,0.87,24,1034,1.0,1.0
9193,Remote work#New construction #Long stay#WIFI#3ppl,213268738,浩悦,Non-Superhost,9.0,35.6731,139.66165,Entire apartment,Entire home/apt,3,1.0,2.0,30000.0,1,1125,180,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1,32,1051,1.5,1.0
9194,■デザイナーズ1軒屋貸切■ 新宿駅タクシー15分■笹塚駅徒歩12分■会議室、家族での利用に◼️宴会禁止,366998061,Mariko,Non-Superhost,1.0,35.68035,139.66832,Entire townhouse,Entire home/apt,7,2.0,5.0,18000.0,1,1125,40,72,4.75,4.67,4.83,4.83,4.88,4.38,4.71,7.11,25,313,1.0,1.0
